Rank	NCT Number	Title	Status	Study Results	Conditions	Interventions	Phases	Study Type	Locations	URL
943	NCT04332042	TOFAcitinib in SARS-CoV2 Pneumonia	Not yet recruiting	No Results Available	SARS-COv2 Related Interstitial Pneumonia	Drug: Tofacitinib	Phase 2	Interventional	"Ospedali Riuniti di Ancona, Ancona, Marche, Italy"	https://ClinicalTrials.gov/show/NCT04332042
944	NCT04421664	Preemptive Therapy for SARS-Coronavirus-2 (COVID-19 PEP Canada)	Recruiting	No Results Available	Corona Virus Infection|SARS-CoV Infection|Coronavirus	Drug: Hydroxychloroquine|Drug: Placebo oral tablet	Phase 3	Interventional	"University of Minnesota, Minneapolis, Minnesota, United States|University of Alberta, Edmonton, Alberta, Canada|University of British Columbia, Vancouver, British Columbia, Canada|University of Manitoba, Winnipeg, Manitoba, Canada|Eastern Health, Saint John's, Newfoundland and Labrador, Canada|McMaster University, Hamilton, Ontario, Canada|Lawson Health Research Institute, London, Ontario, Canada|Research Institute of the McGill University Health Centre, Montréal, Quebec, Canada"	https://ClinicalTrials.gov/show/NCT04421664
945	NCT04342169	University of Utah COVID-19 Hydrochloroquine Trial	Recruiting	No Results Available	Coronavirus Infection|Coronavirus|Infectious Disease	Drug: Hydroxychloroquine|Drug: Placebo oral tablet	Phase 2	Interventional	"University of Utah, Salt Lake City, Utah, United States"	https://ClinicalTrials.gov/show/NCT04342169
946	NCT04321616	The Efficacy of Different Anti-viral Drugs in COVID 19 Infected Patients	Recruiting	No Results Available	SARS-CoV Infection|COVID 19|Acute Respiratory Distress Syndrome ARDS	Drug: Hydroxychloroquine|Drug: Remdesivir|Other: (Standard of Care) SoC	Phase 2|Phase 3	Interventional	"Andreas Barratt-Due, Oslo, Norway"	https://ClinicalTrials.gov/show/NCT04321616
947	NCT04371393	MSCs in COVID-19 ARDS	Recruiting	No Results Available	Mesenchymal Stromal Cells|Remestemcel-L|Acute Respiratory Distress Syndrome|COVID	Biological: Remestemcel-L|Drug: Placebo	Phase 3	Interventional	"University of Southern California, Los Angeles, California, United States|Emory University, Atlanta, Georgia, United States|Lutheran Hospital, Fort Wayne, Indiana, United States|Ochsner Clinic, New Orleans, Louisiana, United States|University of Maryland, Baltimore, Maryland, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|University of Michigan, Ann Arbor, Michigan, United States|Dartmouth-Hitchcock, Lebanon, New Hampshire, United States|Mount Sinai Health, New York, New York, United States|Northwell Health, New York, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Cleveland Clinic Foundation, Cleveland, Ohio, United States|University of Pennsylvania Health System, Philadelphia, Pennsylvania, United States|Baylor, Smith & White, Plano, Texas, United States|University of Virginia, Charlottesville, Virginia, United States"	https://ClinicalTrials.gov/show/NCT04371393
948	NCT04263402	The Efficacy of Different Hormone Doses in 2019-nCoV Severe Pneumonia	Recruiting	No Results Available	2019-nCoV Severe Pneumonia	Drug: Methylprednisolone	Phase 4	Interventional	"Department and Institute of Infectious Disease, Wuhan, Hubei, China"	https://ClinicalTrials.gov/show/NCT04263402
949	NCT04392778	Clinical Use of Stem Cells for the Treatment of Covid-19	Recruiting	No Results Available	Covid19|Pneumonia|Multiple Organ Failure|Corona Virus Infection	Biological: MSC Treatment|Biological: Saline Control	Phase 1|Phase 2	Interventional	"Istinye University, Istanbul, Turkey|SBÜ Dr. Sadi Konuk Eğitim ve Araştırma Hastanesi, Istanbul, Turkey"	https://ClinicalTrials.gov/show/NCT04392778
950	NCT04373135	"Understanding Community Considerations, Opinions, Values, Impacts, and Decisions for COVID-19"	Recruiting	No Results Available	Covid-19|Critical Illness|Attitude of Health Personnel|Attitude to Health|Health Behavior|Health Care Utilization	Behavioral: Brief educational video	Not Applicable	Interventional	"University of California, Los Angeles, Los Angeles, California, United States"	https://ClinicalTrials.gov/show/NCT04373135
951	NCT04316728	Clinical Performance of the VivaDiag ™ COVID-19 lgM / IgG Rapid Test in Early Detecting the Infection of COVID-19	Not yet recruiting	No Results Available	Coronavirus Infections	Device: VivaDiag™ COVID-19 lgM/IgG Rapid Test	Not Applicable	Interventional	"Unità' Complesse di cure primarie (UCCP), ASP Catanzaro, Catanzaro, Italy"	https://ClinicalTrials.gov/show/NCT04316728
952	NCT04393727	Transfusion of Convalescent Plasma for the Early Treatment of Patients With COVID-19	Recruiting	No Results Available	COVID|SARS-CoV 2	Biological: CONVALESCENT PLASMA	Phase 2	Interventional	"Azienda Ospedaliero Universitaria Pisana, Pisa, Italy"	https://ClinicalTrials.gov/show/NCT04393727
953	NCT04424134	BromhexIne And Spironolactone For CoronаVirUs Infection Requiring HospiTalization	Recruiting	No Results Available	COVID 19	Drug: Bromhexine and Spironolactone|Drug: Base therapy	Phase 3	Interventional	"Lomonosov Moscow State University Medical Research and Educational Center, Moscow, Moscow Region, Russian Federation"	https://ClinicalTrials.gov/show/NCT04424134
954	NCT04327349	Investigating Effect of Convalescent Plasma on COVID-19 Patients Outcome: A Clinical Trial	Enrolling by invitation	No Results Available	Coronavirus Infections	Biological: Convalescent Plasma	Not Applicable	Interventional	"Imam Khomeini Hospital, Mazandaran University of Medical Sciences, Sari, Mazandaran, Iran, Islamic Republic of"	https://ClinicalTrials.gov/show/NCT04327349
955	NCT04365101	Natural Killer Cell (CYNK-001) Infusions in Adults With COVID-19 (CYNK-001-COVID-19)	Recruiting	No Results Available	"Coronavirus|Coronavirus Infection|Severe Acute Respiratory Syndrome Coronavirus 2|Pneumonia|Pneumonia, Viral|Lung Diseases|Respiratory Tract Disease|Respiratory Tract Infections|Coronaviridae Infections|Nidovirales Infections|RNA Virus Infections|Virus Disease|Immunologic Disease|ARDS|Immunologic Factors|Physiological Effects of Drugs|Antiviral Agents|Anti-infective Agents|Analgesics|Antimetabolites, Antineoplastic"	Biological: CYNK-001	Phase 1|Phase 2	Interventional	"Hackensack University Medical Center, Hackensack, New Jersey, United States|Atlantic Health, Morristown, New Jersey, United States|Atlantic Health, Summit, New Jersey, United States|Multicare Health System, Tacoma, Washington, United States"	https://ClinicalTrials.gov/show/NCT04365101
956	NCT04357730	Fibrinolytic Therapy to Treat ARDS in the Setting of COVID-19 Infection	Recruiting	No Results Available	Severe Acute Respiratory Syndrome|Respiratory Failure|Acute Respiratory Distress Syndrome	Drug: Alteplase 50 MG [Activase]|Drug: Alteplase 100 MG [Activase]	Phase 2	Interventional	"Denver Health Medical Center, Denver, Colorado, United States"	https://ClinicalTrials.gov/show/NCT04357730
957	NCT04328129	Household Transmission Investigation Study for COVID-19 in French Guiana	Recruiting	No Results Available	Coronavirus Infections|Severe Acute Respiratory Syndrome|SARS-CoV Infection	Procedure: Human biological samples	Not Applicable	Interventional	"Centre Hospitalier Andrée Rosemon, Cayenne, French Guiana|Institut Pasteur de la Guyane, Cayenne, French Guiana"	https://ClinicalTrials.gov/show/NCT04328129
958	NCT04407208	Convalescent Plasma Therapy in Patients With COVID-19	Completed	No Results Available	Convalescence|Corona Virus Infection|Plaque	Biological: Convalescent plasma	Phase 1	Interventional	"Gatot Soebroto central army presidential hospital, Jakarta Pusat, Indonesia"	https://ClinicalTrials.gov/show/NCT04407208
959	NCT04453371	Impact of Tissue Plasminogen Activator (tPA) Treatment for an Atypical Acute Respiratory Distress Syndrome (COVID-19)	Not yet recruiting	No Results Available	Acute Respiratory Distress Syndrome	Drug: Tissue plasminogen activator|Drug: Ringer solution	Phase 3	Interventional		https://ClinicalTrials.gov/show/NCT04453371
960	NCT04366817	Psychological Impact of the Lockdown on Patients Giving Birth During the COVID-19 Epidemic Short Title : Isolement and Childbirth: Psychological Impact	Not yet recruiting	No Results Available	Post Partum Depression	Behavioral: psychological assessment	Not Applicable	Interventional	"Service médecine foetale-Hôpital Trousseau, Paris, France"	https://ClinicalTrials.gov/show/NCT04366817
961	NCT04447469	Study of Mavrilimumab (KPL-301) in Participants Hospitalized With Severe Corona Virus Disease 2019 (COVID-19) Pneumonia and Hyper-inflammation	Not yet recruiting	No Results Available	COVID	Drug: mavrilimumab|Other: Placebo	Phase 2|Phase 3	Interventional	"Tulane Medical Center, New Orleans, Louisiana, United States"	https://ClinicalTrials.gov/show/NCT04447469
962	NCT04429555	"Efficacy, Safety, Tolerability, and Biomarkers of MN-166 (Ibudilast) in Patients Hospitalized With COVID-19 and at Risk for ARDS"	Not yet recruiting	No Results Available	"Pneumonia, Viral"	Drug: Ibudilast|Drug: Placebo	Phase 2	Interventional		https://ClinicalTrials.gov/show/NCT04429555
963	NCT04400838	Investigating a Vaccine Against COVID-19	Recruiting	No Results Available	Coronavirus	Biological: ChAdOx1 nCoV-19 (Abs 260)|Biological: MenACWY vaccine|Biological: ChAdOx1 nCoV-19 (Abs 260) + 2.2x10^10vp (qPCR) boost|Biological: Two dose MenACWY vaccine|Biological: ChAdox1 n-CoV-19 (Abs 260) vaccine low dose|Biological: ChAdOx1 nCoV-19 (qPCR)|Biological: ChAdOx1 nCoV-19 plus 5x10^10vp boost (qPCR)	Phase 2|Phase 3	Interventional	"University Hospital Southampton NHS Foundation Trust, Southampton, Hampshire, United Kingdom|Castle Hill Hospital, Cottingham, Hull, United Kingdom|St Georges University Hospital NHS Foundation Trust, London, Tooting, United Kingdom|University Hospitals Birmingham NHS Foundation Trust, Birmingham, United Kingdom|University Hospitals Bristol and Weston NHS Foundation Trust, Bristol, United Kingdom|North Bristol NHS Trust, Bristol, United Kingdom|NIHR Cambridge Clinical Research Facility, Cambridge, United Kingdom|NHS Lothian, Western General Hospital, Edinburgh, United Kingdom|Glasgow University and NHS Greater Glasgow & Clyde, New Lister Building, Glasgow Royal Infirmary & Queen Elizabeth University Hospital, Glasgow, United Kingdom|Liverpool School of Tropical Medicine (LSTM), Accelerator Research Clinic. Clinical Sciences Accelerator, LIverpool, United Kingdom|London North West University Healthcare Trust (LNWUH), Northwick Park Hospital, London, United Kingdom|University College London Hospitals NHS Foundation Trust, London, United Kingdom|Guy's and St Thomas' NHS Foundation Trust, Department of Infection, St Thomas Hospital, London, United Kingdom|Imperial College Healthcare NHS Trust, London, United Kingdom|The Newcastle upon Tyne Hospitals NHS Foundation Trust, Royal Victoria Infirmary, Newcastle upon Tyne, United Kingdom|Public Health Wales, Newport, United Kingdom|University of Nottingham Health Service, Cripps Health Centre, University Park, Nottingham, United Kingdom|CCVTM, University of Oxford, Churchill Hospital, Oxford, United Kingdom|John Radcliffe Hospital, Oxford, United Kingdom|Sheffield Teaching Hospitals, Royal Hallamshire Hospital, Sheffield, United Kingdom"	https://ClinicalTrials.gov/show/NCT04400838
964	NCT04379453	Robot Assisted Percutaneous Cardiovascular Intervention as a Strategy to Reduce or Risk of Intra-Procedure Contamination by COVID-19 and Other Respiratory Viruses	Recruiting	No Results Available	Coronary Artery Disease	Procedure: Robot Assisted Percutaneous Cardiovascular Intervention	Not Applicable	Interventional	"Hospital Israelita Albert Einstein, São Paulo, Brazil"	https://ClinicalTrials.gov/show/NCT04379453
965	NCT04343261	Convalescent Plasma in the Treatment of COVID 19	Enrolling by invitation	No Results Available	SARS-CoV-2|COVID|Coronavirus	Biological: Convalescent Plasma	Phase 2	Interventional	"Trinity Health Of New England, Hartford, Connecticut, United States"	https://ClinicalTrials.gov/show/NCT04343261
966	NCT04367077	MultiStem Administration for COVID-19 Induced ARDS (MACoVIA)	Recruiting	No Results Available	ARDS	Biological: MultiStem|Biological: Placebo	Phase 2|Phase 3	Interventional	"Athersys Investigational Site 101, Cleveland, Ohio, United States|Athersys Investigational Site 102, Cleveland, Ohio, United States"	https://ClinicalTrials.gov/show/NCT04367077
967	NCT04333368	Cell Therapy Using Umbilical Cord-derived Mesenchymal Stromal Cells in SARS-CoV-2-related ARDS	Recruiting	No Results Available	Severe Acute Respiratory Syndrome Coronavirus 2|Severe Acute Respiratory Distress Syndrome	Biological: Umbilical cord Wharton's jelly-derived human|Other: NaCl 0.9%	Phase 1|Phase 2	Interventional	"Hôpital Pitié-Salpêtrière - APHP, Paris, France|Hôpital Européen Georges Pompidou - APHP, Paris, France"	https://ClinicalTrials.gov/show/NCT04333368
968	NCT04439006	Ibrutinib for the Treatment of COVID-19 in Patients Requiring Hospitalization	Not yet recruiting	No Results Available	Aplastic Anemia|Hematopoietic and Lymphoid Cell Neoplasm|Malignant Solid Neoplasm|Monoclonal B-Cell Lymphocytosis|Monoclonal Gammopathy of Undetermined Significance|Myelodysplastic Syndrome|Symptomatic COVID-19 Infection Laboratory-Confirmed	Other: Best Practice|Drug: Ibrutinib	Phase 2	Interventional	"Ohio State University Comprehensive Cancer Center, Columbus, Ohio, United States"	https://ClinicalTrials.gov/show/NCT04439006
969	NCT04394377	Full Anticoagulation Versus Prophylaxis in COVID-19: COALIZAO ACTION Trial	Recruiting	No Results Available	Coronavirus Infection	Drug: Group 1: Rivaroxaban 20mg/d followed by enoxaparin/unfractionated heparin when needed|Drug: Group 2: control group with enoxaparin 40mg/d	Phase 4	Interventional	"Hospital Vera Cruz, Belo Horizonte, Minas Gerais, Brazil|Núcleo de Ciências de Saúde - Unidade de Pesquisa - Hospital Felício Rocho, Belo Horizonte, Minas Gerais, Brazil|Unidade de Pesquisa Clínica da Faculdade de Medicina de Botucatu - Unesp, Botucatu, São Paulo, Brazil|Hospital Israelita Albert Einstein, São Paulo, Brazil"	https://ClinicalTrials.gov/show/NCT04394377
970	NCT04360096	Inhaled Aviptadil for the Treatment of Moderate and Severe COVID-19	Not yet recruiting	No Results Available	SARS-CoV 2|COVID|ARDS|ALI|Acute Lung Injury/Acute Respiratory Distress Syndrome (ARDS)|Dyspnea	Drug: RLF-100 (aviptadil)|Drug: Placebo|Device: Nebulized administration of RLF-100 or Placebo	Phase 2|Phase 3	Interventional		https://ClinicalTrials.gov/show/NCT04360096
971	NCT04433078	RepurpoSing Old Drugs TO SuppRess a Modern Threat: COVID-19 STORM	Recruiting	No Results Available	Cytokine Storm|SARS-CoV-2	Drug: Doxycycline|Drug: Placebo	Phase 2	Interventional	"Temple University Hospital, Philadelphia, Pennsylvania, United States"	https://ClinicalTrials.gov/show/NCT04433078
972	NCT03042143	Repair of Acute Respiratory Distress Syndrome by Stromal Cell Administration (REALIST) (COVID-19)	Recruiting	No Results Available	Acute Respiratory Distress Syndrome	Biological: Human umbilical cord derived CD362 enriched MSCs|Biological: Placebo (Plasma-Lyte 148)	Phase 1|Phase 2	Interventional	"Belfast Health and Social Care Trust, Royal Hospitals, Belfast, Northern Ireland, United Kingdom"	https://ClinicalTrials.gov/show/NCT03042143
973	NCT04380818	Low Dose Anti-inflammatory Radiotherapy for the Treatment of Pneumonia by COVID-19	Recruiting	No Results Available	"Pneumonia, Viral"	Radiation: Low-dose radiotherapy|Drug: Hydroxychloroquine Sulfate|Drug: Ritonavir/lopinavir|Drug: Tocilizumab Injection [Actemra]|Drug: Azithromycin|Drug: Corticosteroid|Drug: Low molecular weight heparin|Device: Oxygen supply	Not Applicable	Interventional	"Hospital Sant Joan de Reus, Reus, Tarragona, Spain|Hospital Del Mar, Barcelona, Spain|Hospital Universitario Madrid Sanchinarro, Madrid, Spain"	https://ClinicalTrials.gov/show/NCT04380818
974	NCT04359810	Plasma Therapy of COVID-19 in Critically Ill Patients	Recruiting	No Results Available	SARS-CoV Infection	Biological: Convalescent Plasma (anti-SARS-CoV-2 plasma)|Biological: Non-convalescent Plasma (control plasma)	Phase 2	Interventional	"Columbia University Irving Medical Center/NYP, New York, New York, United States"	https://ClinicalTrials.gov/show/NCT04359810
975	NCT04382547	Treatment of Covid-19 Associated Pneumonia With Allogenic Pooled Olfactory Mucosa-derived Mesenchymal Stem Cells	Enrolling by invitation	No Results Available	"COVID|Covid-19|Coronavirus|Pneumonia|Pneumonia, Viral|Pneumonia, Interstitial|Sars-CoV2"	Biological: Allogenic pooled olfactory mucosa-derived mesenchymal stem cells|Other: Standard treatment according to the Clinical protocols	Phase 1|Phase 2	Interventional	"Institute of Biophysics and Cell Engineering of National Academy of Sciences of Belarus, Minsk, Belarus"	https://ClinicalTrials.gov/show/NCT04382547
976	NCT04340349	Low-dose Hydroxychloroquine and Bromhexine: a Novel Regimen for COVID-19 Prophylaxis in Healthcare Professionals	Enrolling by invitation	No Results Available	Hydroxychloroquine|Antimalarials|Enzyme Inhibitors|Antirheumatic Agents	Drug: Hydroxychloroquine Sulfate|Drug: Bromhexine 8 MG	Early Phase 1	Interventional	"National Institute of Rehabilitation, Mexico City, Cdmx, Mexico"	https://ClinicalTrials.gov/show/NCT04340349
977	NCT04252274	Efficacy and Safety of Darunavir and Cobicistat for Treatment of COVID-19	Recruiting	No Results Available	"Pneumonia, Pneumocystis|Coronavirus"	Drug: Darunavir and Cobicistat	Phase 3	Interventional	"Shanghai Public Health Clinical Center, Shanghai, Shanghai, China|Shanghai Public Health Clinical Center, Shanghai, Shanghai, China"	https://ClinicalTrials.gov/show/NCT04252274
978	NCT04432051	The Use of Lung Ultrasonography in COVID-19 Patients	Recruiting	No Results Available	Ultrasonography	Behavioral: mechanical ventilator settings and position	Not Applicable	Interventional	"Gazoosmanpasa Education and Research Hospital, Istanbul, Turkey"	https://ClinicalTrials.gov/show/NCT04432051
979	NCT04305457	Nitric Oxide Gas Inhalation Therapy for Mild/Moderate COVID-19	Recruiting	No Results Available	"Coronavirus Infections|Pneumonia, Viral|Acute Respiratory Distress Syndrome"	Drug: Nitric Oxide	Phase 2	Interventional	"Louisiana State University Health Shreveport, Shreveport, Louisiana, United States|Massachusetts General Hospital, Boston, Massachusetts, United States"	https://ClinicalTrials.gov/show/NCT04305457
980	NCT02735707	"Randomized, Embedded, Multifactorial Adaptive Platform Trial for Community- Acquired Pneumonia"	Recruiting	No Results Available	"Community-acquired Pneumonia, Influenza, COVID-19"	Drug: Fixed-duration Hydrocortisone|Drug: Shock-dependent hydrocortisone|Drug: Ceftriaxone|Drug: Moxifloxacin or Levofloxacin|Drug: Piperacillin-tazobactam|Drug: Ceftaroline|Drug: Amoxicillin-clavulanate|Drug: Macrolide administered for 3-5 days|Drug: Macrolide administered for up to 14 days|Drug: Five-days oseltamivir|Drug: Ten-days oseltamivir|Drug: Lopinavir/ritonavir|Drug: Hydroxychloroquine|Drug: Hydroxychloroquine + lopinavir/ritonavir|Drug: Interferon-β1a|Drug: Anakinra|Drug: Fixed-duration higher dose Hydrocortisone|Drug: Tocilizumab|Drug: Sarilumab	Phase 4	Interventional	"St Vincent's Hospital Sydney, Sydney, New South Wales, Australia|Royal Prince Alfred Hospital, Sydney, New South Wales, Australia|Royal North Shore Hospital, Sydney, New South Wales, Australia|Nepean Hospital, Sydney, New South Wales, Australia|Wollongong Hospital, Sydney, New South Wales, Australia|Royal Darwin Hospital,, Darwin, Northern Territory, Australia|Sunshine Coast University Hospital, Birtinya, Queensland, Australia|Princess Alexandra Hospital, Brisbane, Queensland, Australia|Logan Hospital, Brisbane, Queensland, Australia|Toowoomba Hospital, Toowoomba, Queensland, Australia|The Queen Elizabeth Hospital, Adelaide, South Australia, Australia|Bendigo Hospital, Bendigo, Victoria, Australia|University Hosptial Geelong, Geelong, Victoria, Australia|The Alfred Hospital, Melbourne, Victoria, Australia|Royal Melbourne Hospital, Melbourne, Victoria, Australia|St Vincent's Hospital Melbourne, Melbourne, Victoria, Australia|Royal Perth Hospital, Perth, Western Australia, Australia|Sir Charles Gairdner Hospital, Perth, Western Australia, Australia|St John of God Hospital Midland, Perth, Western Australia, Australia|Fiona Stanley Hospital, Perth, Western Australia, Australia|St John of God Hospital Murdoch, Perth, Western Australia, Australia|AZ Sint-Jan, Brugge, Belgium|CHU de Charleroi - Hôpital Civil Marie Curie, Charleroi, Belgium|Universitair Ziekenhuis Antwerp, Edegem, Belgium|Universitair Ziekenhuis Gent, Gent, Belgium|St. Joseph's Healthcare Hamilton, Hamilton, Canada|Centre Hospitalier de l'Université de Sherbrooke, Sherbrooke, Canada|St. Michael's Hospital Unity Health Toronto, Toronto, Canada|General County Hospital Požega, Požega, Croatia|University Hospital Centre Zagreb, Zagreb, Croatia|University Hospital for Infectious Diseases, Zagreb, Croatia|Charité - Universitätsmedizin Berlin - Infektiologie und Pneumologie, Berlin, Germany|Charité - Universitätsmedizin Berlin - Nephrologie, Berlin, Germany|Vivantes Klinikum Neukölln, Berlin, Germany|Universitätsklinikum Köln, Cologne, Germany|Universitätsklinikum Frankfurt, Frankfurt, Germany|University Medical Center Hamburg-Eppendorf (UKE), Hamburg, Germany|Medizinische Hochschule Hannover, Hannover, Germany|Universitätsklinikum Jena, Jena, Germany|Universitätsklinikum Leipzig, Leipzig, Germany|Universitäts Klinikum Tübingen, Tübingen, Germany|Universitätsklinikum Würzburg, Würzburg, Germany|Jósa András County Hospital, Nyíregyháza, Hungary|Csolnoky Ferenc Kórház - Veszprem County Hospital, Veszprém, Hungary|Almási Balogh Pál Kórház, Ózd, Hungary|Beaumont Hospital, Dublin, Ireland|St. Vincent's University Hospital, Dublin, Ireland|University Hospital Galway, Galway, Ireland|Meander Medisch Centrum, Amersfoort, Netherlands|Jeroen Bosch Ziekenhuis, Den Bosch, Netherlands|Martini Hospital Groningen, Groningen, Netherlands|University Medical Center Groningen, Groningen, Netherlands|Leiden University Medical Center, Leiden, Netherlands|Canisius Wilhelmina Ziekenhuis, Nijmegen, Netherlands|Radboud University Medical Center, Nijmegen, Netherlands|University Medical Center Utrecht, Utrecht, Netherlands|North Shore Hospital, Auckland, New Zealand|CVICU, Auckland City Hospital, Auckland, New Zealand|DCCM, Auckland City Hospital, Auckland, New Zealand|Middlemore Hospital, Auckland, New Zealand|Christchurch Hospital, Christchurch, New Zealand|Waikato Hospital, Hamilton, New Zealand|Rotorua Hospital, Rotorua, New Zealand|Tauranga Hospital, Tauranga, New Zealand|Wellington Regional Hospital, Wellington, New Zealand|Whangarei Hospital, Whangarei, New Zealand|Centro Hospitalar do Medio Tejo, Abrantes, Portugal|Hospital Lusíadas Lisbon, Lisboa, Portugal|Clinical Hospital of Infectious and Tropical Diseases ""Dr. Victor Babes"", Bucharest, Romania|Institut Hospital del Mar d'Investigacions Mèdiques, Barcelona, Spain|Hospital Universitario Reina Sofia, Córdoba, Spain|Basingstoke and North Hampshire Hospital, Basingstoke, United Kingdom|Southmead Hospital, Bristol, United Kingdom|University Hospital Coventry, Coventry, United Kingdom|Darlington Memorial Hospital, Darlington, United Kingdom|University Hospital of North Durham, Durham, United Kingdom|Leeds Teaching Hospitals NHS Trust, Leeds, United Kingdom|Maidstone Hospital - Maidstone and Tunbridge Wells NHS Trust, Maidstone, United Kingdom|The James Cook University Hospital, Middlesbrough, United Kingdom|Milton Keynes University Hospital, Milton Keynes, United Kingdom|Northampton General Hospital, Northampton, United Kingdom|Queen's Medical Centre - Nottingham University Hospitals NHS Trust, Nottingham, United Kingdom|Poole Hospital NHS Foundation Trust, Poole, United Kingdom|Queen Alexandra Hospital - Portsmouth Hospitals NHS Trust, Portsmouth, United Kingdom|Royal Berkshire Hospital, Reading, United Kingdom|University Hospital of North Tees, Stockton-on-Tees, United Kingdom|Royal Cornwall Hospital, Truro, United Kingdom|Tunbridge Wells Hospital - Maidstone and Tunbridge Wells NHS Trust, Tunbridge Wells, United Kingdom|York Hospital, York, United Kingdom"	https://ClinicalTrials.gov/show/NCT02735707
981	NCT04401046	COVID-19 and Reorganisation of Cancer Patient Care: Self- Evaluation of Potential Post-traumatic Stress Disorder	Not yet recruiting	No Results Available	Cancer	Other: Survey to assess Post traumatic stress and anxiety at inclusion and 6 months later	Not Applicable	Interventional		https://ClinicalTrials.gov/show/NCT04401046
982	NCT04348695	Study of Ruxolitinib Plus Simvastatin in the Prevention and Treatment of Respiratory Failure of COVID-19.	Recruiting	No Results Available	Coronavirus Infection	Drug: Ruxolitinib plus simvastatin|Other: Standard of Care	Phase 2	Interventional	"Hospital Universitario Madrid Sanchinarro, Madrid, Spain"	https://ClinicalTrials.gov/show/NCT04348695
983	NCT04320277	"Baricitinib in Symptomatic Patients Infected by COVID-19: an Open-label, Pilot Study."	Not yet recruiting	No Results Available	Pharmacological Action	Drug: Baricitinib	Phase 2|Phase 3	Interventional	"Fabrizio Cantini, Prato, Tuscany, Italy"	https://ClinicalTrials.gov/show/NCT04320277
984	NCT04433546	"PB1046, a Long-acting, Sustained Release Human VIP Analogue, Intended to Provide Clinical Improvement to Hospitalized COVID-19 Patients at High Risk for Rapid Clinical Deterioration and Acute Respiratory Distress Syndrome (ARDS)."	Not yet recruiting	No Results Available	Acute Respiratory Distress Syndrome|Coronavirus|Hypoxic Respiratory Failure|Hypoxemic Respiratory Failure|Respiratory Complication|Respiratory Insufficiency|Cardiac Dysfunction|Pneumonia|Pulmonary Edema|Pulmonary Inflammation|Respiratory Failure|Cytokine Storm|COVID 19|SARS-CoV-2|Cardiac Event|Cardiac Complication|Cardiac Failure|Cardiac Infarct	Drug: PB1046|Drug: Low Dose (10 mg) Control	Phase 2	Interventional		https://ClinicalTrials.gov/show/NCT04433546
985	NCT04409743	Brief Telehealth CBT-I Intervention in the Context of the COVID-19 Pandemic	Recruiting	No Results Available	Sleep Disturbance|Insomnia	Behavioral: Remote Cognitive Behavioral Therapy for Insomnia	Not Applicable	Interventional	"Stanford University, Palo Alto, California, United States"	https://ClinicalTrials.gov/show/NCT04409743
986	NCT04349228	Assessment of the Efficacy and Safety of (HCQ) as a Prophylaxis for COVID19 for Health Professionals	Recruiting	No Results Available	COVID19|Sars-CoV2|Hydroxychloroquine|Prophylaxis|Healthcare Worker	Drug: Hydroxychloroquine (HCQ)|Drug: Placebo oral tablet	Phase 3	Interventional	"Eshmoun Clinical Research Centre/ Hôpital Abderrahmane Mami-Ariana, Tunis, Tunisia"	https://ClinicalTrials.gov/show/NCT04349228
987	NCT04406181	Psychological Well-being of Patients Awaiting for Cardiac Surgery During the COVID-19 Pandemic	Recruiting	No Results Available	Anxiety and Fear|Anxiety Depression|Anxiety Postoperative|Psychological Stress	Behavioral: HADS|Behavioral: a survey	Not Applicable	Interventional	"universitair Ziekenhuis Brussel, Jette, Vlaams Brabant, Belgium"	https://ClinicalTrials.gov/show/NCT04406181
988	NCT04403243	COLchicine Versus Ruxolitinib and Secukinumab In Open Prospective Randomized Trial	Recruiting	No Results Available	COVID 19	Drug: Colchicine|Drug: Ruxolitinib 5 MG|Drug: Secukinumab 150 MG/ML Subcutaneous Solution [COSENTYX]|Other: standard therapy	Phase 2	Interventional	"Lomonosov Moscow State University Medical Research and Educational Center, Moscow, Moscow Region, Russian Federation"	https://ClinicalTrials.gov/show/NCT04403243
989	NCT04342650	Chloroquine Diphosphate in the Prevention of SARS in Covid-19 Infection	Recruiting	No Results Available	COVID-19|SARS-CoV Infection|Severe Acute Respiratory Syndrome (SARS) Pneumonia|Clinical Trial	Drug: Chloroquine Diphosphate|Drug: Placebo oral tablet	Phase 2	Interventional	"Hospital e Pronto Socorro Delphina Rinaldi Abdel Aziz, Manaus, Amazonas, Brazil"	https://ClinicalTrials.gov/show/NCT04342650
990	NCT04412356	Timing of Tracheotomy in Covid-19 Patients	Recruiting	No Results Available	Covid-19|ARDS|Tracheostomy Complication|Respiratory Insufficiency|Corona Virus Infection	Procedure: Tracheotomy	Not Applicable	Interventional	"Sahlgrenska University Hospital, Gothenburg, Sweden"	https://ClinicalTrials.gov/show/NCT04412356
